,Produto,Categoria
0,GO COPA,09 - LINHA HOME
1,MISTURA CHOCOLATE QUENTE 200G,09 - LINHA HOME
2,MISTURA FRAPPE CAPPUCCINO 300G,09 - LINHA HOME
3,CHA MATE - G,02 - BEBIDAS GELADAS
4,BROWNIE,04 - DOCES
5,COOKIE BELGA,04 - DOCES
6,COOKIE DUO,04 - DOCES
7,COOKIE GOTAS,04 - DOCES
8,COOKIE LIMÃO,04 - DOCES
9,COOKIE NINHO,04 - DOCES
10,COOKIE NUTELLA,04 - DOCES
11,COOKIE VEGAN,04 - DOCES
12,MUFFIN BANOFFEE,04 - DOCES
13,MUFFIN BAUNILHA C/ GOTAS,04 - DOCES
14,MUFFIN CHOCOLATE C/ GOTAS,04 - DOCES
15,MUFFIN DE NATAL,04 - DOCES
16,BAGUETE DE CARNE COM CHEDDAR,05 - SALGADOS
17,COXINHA DE FRANGO,05 - SALGADOS
18,COXINHA FRANGO E REQUEIJÃO,05 - SALGADOS
19,ESFIHA DE CALABRESA,05 - SALGADOS
20,ESFIHA DE CARNE,05 - SALGADOS
21,FOLHADO DE FRANGO,05 - SALGADOS
22,FOLHADO DE PALMITO,05 - SALGADOS
23,FOLHADO PERU QJO MINAS,05 - SALGADOS
24,FOLHADO PRES E QJO,05 - SALGADOS
25,GO TOAST BLUMENAU,05 - SALGADOS
26,GO TOAST RICOTA TOMATE,05 - SALGADOS
27,INTEGRAL DE BRÓCOLIS,05 - SALGADOS
28,PÃO DE BATATA C/ REQUEIJÃO,05 - SALGADOS
29,PAO DE QUEIJO,05 - SALGADOS
30,PASTEL FORNO CARNE PIC,05 - SALGADOS
31,TROUXINHA DE CARNE SECA,05 - SALGADOS
32,AGUA COM GAS,06 - OUTROS GELADOS
33,AGUA SEM GAS,06 - OUTROS GELADOS
34,COCA COLA NORMAL 350ML,06 - OUTROS GELADOS
35,COCA COLA ZERO 350ML,06 - OUTROS GELADOS
36,CAFÉ GO COFFEE - 100G,09 - LINHA HOME
37,CAFÉ GO COFFEE - 200G,09 - LINHA HOME
38,GO CUP COM CAFÉ,09 - LINHA HOME
39,GO CUP SEM CAFÉ,09 - LINHA HOME
40,1 ESP GO + P QJO,08 - COMBOS
41,AMERICANO - M,01 - BEBIDAS QUENTES
42,CAFE CARMELOTTO - G,01 - BEBIDAS QUENTES
43,CAFE CARMELOTTO - M,01 - BEBIDAS QUENTES
44,CAFE LATTE -  G,01 - BEBIDAS QUENTES
45,CAFE LATTE -  M,01 - BEBIDAS QUENTES
46,CAFE MOCHA - G,01 - BEBIDAS QUENTES
47,CAFE MOCHA - M,01 - BEBIDAS QUENTES
48,CAPPUCCINO BRASILEIRO - G,01 - BEBIDAS QUENTES
49,CAPPUCCINO BRASILEIRO - M,01 - BEBIDAS QUENTES
50,CAPPUCCINO GOCOFFEE - G,01 - BEBIDAS QUENTES
51,CAPPUCCINO ITALIANO - G,01 - BEBIDAS QUENTES
52,CAPPUCCINO ITALIANO - M,01 - BEBIDAS QUENTES
53,CHAI LATTE - G,01 - BEBIDAS QUENTES
54,CHAI LATTE - M,01 - BEBIDAS QUENTES
55,CHOCOLATE QUENTE  - G,01 - BEBIDAS QUENTES
56,CHOCOLATE QUENTE - M,01 - BEBIDAS QUENTES
57,CHOCOMALLOW GOCOFFEE - G,01 - BEBIDAS QUENTES
58,CHOCOMALLOW GOCOFFEE - M,01 - BEBIDAS QUENTES
59,COADO HARIO V60 - M,01 - BEBIDAS QUENTES
60,ESPRESSO GO - P,01 - BEBIDAS QUENTES
61,ESPRESSO HONEY -  P,01 - BEBIDAS QUENTES
62,MACCHIATO - P,01 - BEBIDAS QUENTES
63,ULTRA CARMELOTTO - G,01 - BEBIDAS QUENTES
64,ULTRA MOCHA - G,01 - BEBIDAS QUENTES
65,AMERICANO ICE  - G,02 - BEBIDAS GELADAS
66,CHAI GELADO - G,02 - BEBIDAS GELADAS
67,ESPRESSO TONICA - G,02 - BEBIDAS GELADAS
68,GO SODA - G,02 - BEBIDAS GELADAS
69,HIBISCO JAMAICA  - G,02 - BEBIDAS GELADAS
70,LATTE ICE - G,02 - BEBIDAS GELADAS
71,LATTE ICE - P,02 - BEBIDAS GELADAS
72,MATCHA - G,02 - BEBIDAS GELADAS
73,FRAPPE AVELÃ - G,03 - FRAPPES
74,FRAPPE AVELÃ - P,03 - FRAPPES
75,FRAPPE BANOFFE - G,03 - FRAPPES
76,FRAPPE BANOFFEE - P,03 - FRAPPES
