product_id,material_id,qty
AGUA COM GAS,Copo descartável plástico,1.0
AGUA COM GAS,Canudo grosso,0.2
AGUA COM GAS,Água com gás,500.0
AGUA SEM GAS,Copo descartável plástico,1.0
AGUA SEM GAS,Canudo grosso,0.2
AGUA SEM GAS,Água sem gás,500.0
AMERICANO - M,Café em grão,18.0
AMERICANO - M,Açúcar,0.42
AMERICANO - M,Adoçante sucralose,0.18
AMERICANO - M,Copo papel M,1.0
AMERICANO - M,Tampa preta M,1.0
AMERICANO - M,Luva para copo,1.0
AMERICANO - M,Água mineral,100.0
AMERICANO - M,Mexedor de madeira,0.6
AMERICANO ICE  - G,Café em grão,18.0
AMERICANO ICE  - G,Copo plástico G,1.0
AMERICANO ICE  - G,Tampa reta plástica,1.0
AMERICANO ICE  - G,Canudo grosso,1.0
BROWNIE,Saco para salgados,1.0
BROWNIE,Guardanapo,1.0
BROWNIE,Brownie,1.0
CAFE CARMELOTTO - G,Café em grão,18.0
CAFE CARMELOTTO - G,Leite integral,352.8
CAFE CARMELOTTO - G,Leite de aveia,3.6
CAFE CARMELOTTO - G,Leite sem lactose,3.6
CAFE CARMELOTTO - G,Copo papel G,1.0
CAFE CARMELOTTO - G,Tampa preta G,1.0
CAFE CARMELOTTO - G,Luva para copo,1.0
CAFE CARMELOTTO - G,Xarope caramel,24.0
CAFE CARMELOTTO - G,Cobertura caramelo,15.0
CAFE CARMELOTTO - M,Café em grão,13.0
CAFE CARMELOTTO - M,Copo papel M,1.0
CAFE CARMELOTTO - M,Tampa preta M,1.0
CAFE CARMELOTTO - M,Luva para copo,1.0
CAFE CARMELOTTO - M,Leite integral,242.06
CAFE CARMELOTTO - M,Leite de aveia,2.47
CAFE CARMELOTTO - M,Leite de soja,2.47
CAFE CARMELOTTO - M,Xarope caramel,16.0
CAFE CARMELOTTO - M,Cobertura caramelo,15.0
CAFE LATTE -  G,Café em grão,18.0
CAFE LATTE -  G,Açúcar,0.7
CAFE LATTE -  G,Adoçante sucralose,0.3
CAFE LATTE -  G,Leite integral,352.8
CAFE LATTE -  G,Leite de aveia,3.6
