ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Confraternização Universal,Confraternização Universal_lower,Confraternização Universal_upper,Dia Nacional de Zumbi e da Consciência Negra,Dia Nacional de Zumbi e da Consciência Negra_lower,Dia Nacional de Zumbi e da Consciência Negra_upper,Dia do Trabalhador,Dia do Trabalhador_lower,Dia do Trabalhador_upper,Finados,Finados_lower,Finados_upper,Independência do Brasil,Independência do Brasil_lower,Independência do Brasil_upper,Natal,Natal_lower,Natal_upper,Nossa Senhora Aparecida,Nossa Senhora Aparecida_lower,Nossa Senhora Aparecida_upper,Proclamação da República,Proclamação da República_lower,Proclamação da República_upper,Sexta-feira Santa,Sexta-feira Santa_lower,Sexta-feira Santa_upper,Tiradentes,Tiradentes_lower,Tiradentes_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-02,527.6530572,375.5271299048815,1000.8780109954673,527.6530572,527.6530572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.16061571730202,164.16061571730202,164.16061571730202,0.0,0.0,0.0,164.16061571730202,164.16061571730202,164.16061571730202,0.0,0.0,0.0,691.813672917302
2023-01-03,531.5940193837038,475.32435994281985,1083.227386703755,531.5940193837038,531.5940193837038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.01507248960854,264.01507248960854,264.01507248960854,0.0,0.0,0.0,264.01507248960854,264.01507248960854,264.01507248960854,0.0,0.0,0.0,795.6090918733123
2023-01-04,535.5349815674074,486.85311470106615,1108.7737773352749,535.5349815674074,535.5349815674074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.8384733601475,260.8384733601475,260.8384733601475,0.0,0.0,0.0,260.8384733601475,260.8384733601475,260.8384733601475,0.0,0.0,0.0,796.3734549275548
2023-01-05,539.4759437511111,498.9338192281738,1128.9174064822441,539.4759437511111,539.4759437511111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.8037759587618,280.8037759587618,280.8037759587618,0.0,0.0,0.0,280.8037759587618,280.8037759587618,280.8037759587618,0.0,0.0,0.0,820.2797197098729
2023-01-06,543.4169059348147,505.2631045492202,1121.2208060714281,543.4169059348147,543.4169059348147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.71868363879497,274.71868363879497,274.71868363879497,0.0,0.0,0.0,274.71868363879497,274.71868363879497,274.71868363879497,0.0,0.0,0.0,818.1355895736096
2023-01-07,547.3578681185185,-158.31450612657562,462.2980924892814,547.3578681185185,547.3578681185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.56429611769437,-389.56429611769437,-389.56429611769437,0.0,0.0,0.0,-389.56429611769437,-389.56429611769437,-389.56429611769437,0.0,0.0,0.0,157.7935720008241
2023-01-08,551.2988303022222,-611.3028788450687,9.14228432551867,551.2988303022222,551.2988303022222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854.9723250483707,-854.9723250483707,-854.9723250483707,0.0,0.0,0.0,-854.9723250483707,-854.9723250483707,-854.9723250483707,0.0,0.0,0.0,-303.67349474614855
2023-01-09,555.2397924859259,388.41597387694134,1041.9312008350958,555.2397924859259,555.2397924859259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.1606157178988,164.1606157178988,164.1606157178988,0.0,0.0,0.0,164.1606157178988,164.1606157178988,164.1606157178988,0.0,0.0,0.0,719.4004082038248
2023-01-10,559.1807546696296,515.3913044599777,1128.6434755798007,559.1807546696296,559.1807546696296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.01507249004607,264.01507249004607,264.01507249004607,0.0,0.0,0.0,264.01507249004607,264.01507249004607,264.01507249004607,0.0,0.0,0.0,823.1958271596757
2023-01-11,563.1217168533333,506.6424253237297,1121.4825341396174,563.1217168533333,563.1217168533333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.83847335958967,260.83847335958967,260.83847335958967,0.0,0.0,0.0,260.83847335958967,260.83847335958967,260.83847335958967,0.0,0.0,0.0,823.960190212923
